ID,Last Contact,City State,Location,Sex,Missing Age From,Missing Age To,Current Age From,Current Age To,Ethnicity,Height,Weight,Hair Color,Left Eye Color,Right Eye Color,Clothing,Physical Features
MP18594,2012-11-14,"Evansville, Indiana","(37.961954, -87.4703029)",Male,56,56,68,68,White / Caucasian,65.0,160.0,Gray or Partially Gray,Hazel,Hazel,"Unknown - Subject had just gotten of work at Wal-Mart in Owensboro, KY and returned to the residence he was staying at in Evansville, IN.  When Pate left work, video shows him wearing dark t-shirt with left front breast pocket, dark light jacket, and tan pants
Eye-glasses",Scar/mark: Scar above left eye in the left eyebrow.
MP19610,2012-12-04,"Gary, Indiana","(41.6053514, -87.33639339999999)",Male,45,45,57,57,Black / African American,74.0,250.0,,Brown,Brown,,
MP17308,2012-08-09,"South Bend, Indiana","(41.6763545, -86.25198979999999)",Female,34,34,46,46,Black / African American,63.0,160.0,Black,Brown,Brown,,
MP14541,2012-03-09,"Portage, Indiana","(41.596455, -87.1722037)",Male,54,54,67,67,White / Caucasian,71.0,140.0,Brown,Hazel,Hazel,,"Finger and toe nails: Missing a toenail on the right foot(?), on the toe next to the big toe.  Toe had been caught under a table and the toe pulled off below the toenail and the bone was exposed.  Bone had to be shaved back to sew skin together.
Scar/mark: Scar at the upper part of the chin bone, below the lip."
MP14678,2011-10-15,"Indianapolis, Indiana","(39.768403, -86.158068)",Female,31,31,44,44,White / Caucasian,66.0,120.0,Brown,Blue,Blue,,
MP26443,1978-06-06,"Mooresville, Indiana","(39.6128243, -86.37415999999999)",Male,24,24,70,70,White / Caucasian,70.0,160.0,Brown,Green,Green,,"Tattoo: on the shoulder, in small letters, the name ann"
MP27067,2009-04-01,"Indianapolis, Indiana","(39.6788037, -86.0835415)",Male,45,45,61,61,White / Caucasian,68.0,185.0,Brown,Blue,Blue,,
MP34541,1982-08-10,"Bloomington, Indiana","(39.165325, -86.52638569999999)",Male,31,31,74,74,White / Caucasian,70.0,160.0,Brown,Blue,Blue,"LAST SEEN IN BLUE JEANS, WHITE T-SHIRT/W/BLUE STRIPES
TENNIS SH0ES",
MP34542,1982-03-28,"Knightstown, Indiana","(39.7956007, -85.5263629)",Male,23,23,65,65,White / Caucasian,69.0,170.0,Blond/Strawberry,Blue,Blue,Flannel Shirt carrying a brown suitcase,"Tattoo: Tattoo on arm that says ""Smitty"""
MP34641,2004-01-27,"Michigan City, Indiana","(41.70753939999999, -86.8950297)",Female,18,18,39,39,Black / African American,62.0,120.0,Black,Brown,Brown,,
MP32114,2015-10-21,"Anderson, Indiana","(40.096197, -85.6948458)",Male,62,62,71,71,White / Caucasian,67.0,172.0,Gray or Partially Gray,Blue,Blue,,
MP33190,1979-09-12,"Evansville, Indiana","(37.9715592, -87.5710898)",Male,39,39,84,84,White / Caucasian,73.0,160.0,Brown,Hazel,Hazel,,"Tattoo: TATTOO LEFT ARM MARINE C0RP BULLD0G, RIGHT FOREARM USMC, EAGLE,
GL0BE AND ANCH0R"
MP32118,2015-10-21,"Anderson, Indiana","(40.096197, -85.6948458)",Male,63,63,72,72,White / Caucasian,69.0,180.0,Gray or Partially Gray,,,,Tattoo: Left upper bicep which looks like upside down spade in blue ink.
MP33161,1998-06-01,"Indianapolis, Indiana","(39.768403, -86.158068)",Male,38,38,64,64,White / Caucasian,72.0,160.0,Brown,Green,Green,,"Tattoo: Tattoo on back, left arm, left shoulder"
MP34639,2003-05-24,"Wabash, Indiana","(40.797821, -85.8205411)",Male,42,42,63,63,White / Caucasian,71.0,270.0,Brown,Blue,Blue,"Camouflage T-shirt, gray sweat pants, white socks
white tennis shoes","Amputation: Right leg is prosthetic, steel rod and screws in left leg, surgical scar where part of right side of skull was removed.
Scar/mark: surgical scar where part of right side of skull was removed"
MP34559,1997-01-12,"New Albany, Indiana","(38.2856247, -85.8241312)",Male,25,25,53,53,White / Caucasian,78.0,205.0,Brown,Hazel,Hazel,H00DED SWEATSHIRT AND JEANS,Tattoo: left arm
MP33175,1995-10-03,"Indianapolis, Indiana","(39.768403, -86.158068)",Male,47,47,76,76,White / Caucasian,69.0,185.0,Gray or Partially Gray,Brown,Brown,,Scar/mark: Scar left finger.
MP34733,2004-03-07,"Van Buren, Indiana","(40.6172654, -85.5046957)",Male,32,32,53,53,White / Caucasian,69.0,145.0,Brown,Blue,Blue,,"Scar/mark: Scar on face, abdomen
Tattoo: Tattoo on left arm, left finger, left leg, left wrist, left forearm, right leg, right wrist"
MP32683,2015-05-15,"Fort Wayne, Indiana","(41.079273, -85.1393513)",Male,56,56,66,66,White / Caucasian,68.0,180.0,Blond/Strawberry,Blue,Blue,,"Scar/mark: Scar Upper left arm
Tattoo: Left shoulder and right shoulder"
MP39840,1986-01-01,"Greencastle, Indiana","(39.6444898, -86.8647316)",Male,28,28,67,67,White / Caucasian,69.0,150.0,,,,,
MP55162,1974-01-27,"Hammond, Indiana","(41.5829905, -87.45048880000002)",Male,11,11,62,62,White / Caucasian,48.0,65.0,Brown,Brown,Brown,"Tan trench coat; Brown corduroy hooded shirt
Glasses
Green rubber boots with yellow tops",
MP39643,2017-04-07,"Taylorsville, Indiana","(39.2957639, -85.9496152)",Male,36,36,44,44,White / Caucasian,69.0,175.0,Brown,Brown,Brown,"Black tee shirt with the words Highly Suspect on it and blue jeans.
Wears glasses but found pair in truck left behind so not sure if he had more then one pair and he might have Sun glasses.
Tennis shoes not sure style or color.
Possibly wedding band and maybe watch.",Tattoo: Initials P.K.  on right forearm.
MP94918,2022-08-05,"Bloomington, Indiana","(39.165325, -86.52638569999999)",Male,37,37,39,39,White / Caucasian,69.0,147.0,Red/Auburn,Blue,Blue,"Black Polo Sport Shirt
Black Khaki pants
Black Puma tennis shoes with RED logos and RED laces","Scar/mark: surgical scar, left knee
Tattoo: Dragon on left chest
Tattoo: Celtic crosses on BOTH inner forearms
Tattoo: Chinese symbols in RED ink on both sides of his ribcage
Tattoo: Old childhood tattoo of a cross on right hand"
MP92197,2018-08-15,"Richmond, Indiana","(39.8289369, -84.8902382)",Male,24,24,31,31,,67.0,130.0,Brown,Brown,Brown,"Brown backpack
Purple high-top shoes","Tattoo: Sun, Moon, and Stars (both arms)"
MP108671,1999-04-19,"Indianapolis, Indiana","(39.768403, -86.158068)",Female,36,36,62,62,Black / African American,70.0,180.0,Black,Brown,Brown,,
MP110539,2021-07-30,"Indianapolis, Indiana","(39.7817323, -86.0450839)",Male,21,21,24,24,Black / African American,65.0,180.0,Black,Brown,Brown,,
MP113959,1993-02-02,"Evansville, Indiana","(37.9715592, -87.5710898)",Male,33,33,65,65,White / Caucasian,73.0,160.0,Sandy,Blue,Blue,,
MP112645,2018-08-02,"Indianapolis, Indiana","(39.768403, -86.158068)",Male,59,59,65,65,White / Caucasian,64.0,155.0,Brown,Brown,Brown,,
MP119003,2023-04-01,"Fort Wayne, Indiana","(41.20768169999999, -85.116815)",Male,35,35,37,37,White / Caucasian,69.0,160.0,Bald,Brown,Brown,possibly had watch and a bracelet,"Tattoo: Tattoo- ""ZIP"" on upper back
Scar-Right arm, hand and head.  Burn scar on left side of left calf/leg.  Surgery scar on left arm from elbow to hand, very large."
MP128935,2023-03-26,"Indianapolis, Indiana","(39.8108004, -86.1026668)",Male,25,25,27,27,Hispanic / Latino,71.0,150.0,Black,Brown,Brown,,
